Song,Artist
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters"
Christmas (Baby Please Come Home),Darlene Love
Step Into Christmas,Elton John
Show Out (with Skepta & Pop Smoke),Kid Cudi
Investe Em Mim,Jonas Esticado
Lance Individual,Jorge & Mateus
Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates
Thank God It's Christmas - Non-Album Single,Queen
Christmas Lights,Coldplay
Have Yourself A Merry Little Christmas,Sam Smith
Santa's Coming for Us,Sia
My Only Wish (This Year),Britney Spears
"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge
Like It's Christmas,Jonas Brothers
Christmas Without You,Ava Max
You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani
Gnat,Eminem
Joy To The World,Nat King Cole
Santa Claus Is Coming to Town,Michael Bublé
Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel
‘tis the damn season,Taylor Swift
I Saw Mommy Kissing Santa Claus,The Jackson 5
Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri Rene & His Orchestra"
Carol of the Bells,"Mykola Dmytrovych Leontovych, John Williams"
gold rush,Taylor Swift
What Christmas Means To Me,Stevie Wonder
The Christmas Song (Shawn Mendes & Camila Cabello),Shawn Mendes
"Baby, It's Cold Outside",Dean Martin
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen
One More Sleep,Leona Lewis
Little Saint Nick - 1991 Remix,The Beach Boys
Naughty List (with Dixie),Liam Payne
I'll Be Home,Meghan Trainor
Rudolph The Red-Nosed Reindeer,Dean Martin
Mistletoe And Holly - Remastered 1999,Frank Sinatra
Jingle Bells - Remastered 1999,Frank Sinatra
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey
Do You Hear What I Hear? - Remastered 2006,Bing Crosby
Hallelujah,Pentatonix
This Christmas,Donny Hathaway
Winter Wonderland,Tony Bennett
Christmas Tree Farm,Taylor Swift
Cozy Little Christmas,Katy Perry
"Merry Christmas, Happy Holidays",*NSYNC
tolerate it,Taylor Swift
Please Come Home for Christmas - 2013 Remaster,Eagles
My Kind Of Present,Meghan Trainor
happiness,Taylor Swift
ivy,Taylor Swift
dorothea,Taylor Swift
coney island (feat. The National),Taylor Swift
evermore (feat. Bon Iver),Taylor Swift
long story short,Taylor Swift
cowboy like me,Taylor Swift
marjorie,Taylor Swift
closure,Taylor Swift
She Knows This,Kid Cudi
Another Day,Kid Cudi
"Solo Dolo, Pt. III",Kid Cudi
Dive,Kid Cudi
Heaven On Earth,Kid Cudi
Sad People,Kid Cudi
Damaged,Kid Cudi
YO VISTO ASÍ,Bad Bunny
Beautiful Trip,Kid Cudi
The Void,Kid Cudi
cardigan,Taylor Swift
Real Shit (with benny blanco),Juice WRLD
Teach Me How To Love,Shawn Mendes
Blinding Lights (with ROSALÍA) - Remix,The Weeknd
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez, Jack Harlow"
TE DESEO LO MEJOR,Bad Bunny
Errbody,Lil Baby
Angels Like You,Miley Cyrus
Blue & Grey,BTS
Mad at Disney,salem ilese
Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow"
LA DROGA,Bad Bunny
GO (feat. Juice WRLD),The Kid LAROI
Jenny (I Wanna Ruin Our Friendship),Studio Killers
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn
HOY COBRÉ,Bad Bunny
MALDITA POBREZA,Bad Bunny
EL MUNDO ES MÍO,Bad Bunny
ANTES QUE SE ACABE,Bad Bunny
SORRY PAPI,"Bad Bunny, ABRA"
120,Bad Bunny
TRELLAS,Bad Bunny
Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney
Fly To My Room,BTS
Telepathy,BTS
Dis-ease,BTS
Stay,BTS
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus
CANTARES DE NAVIDAD,Trio Vegabajeño
Plastic Hearts,Miley Cyrus
CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny"
Skit,BTS
Baby (with J Balvin),Sfera Ebbasta
Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel"
Dime Cómo Quieres,"Christian Nodal, Ángela Aguilar"
Tik Tok (feat. Marracash & Guè Pequeno),Sfera Ebbasta
Jerusalema (feat. Nomcebo Zikode),Master KG
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy
Abracadabra (feat. Future),Sfera Ebbasta
Djadja (feat. Maluma) - Remix,Aya Nakamura
ALWAYS DO,The Kid LAROI
Smile (with The Weeknd),Juice WRLD
Pretty Savage,BLACKPINK
Savage Love (Laxed – Siren Beat) [BTS Remix],"Jawsh 685, Jason Derulo"
Mirrors,Justin Timberlake
Hollywood (feat. Diplo),Sfera Ebbasta
Runnin,"21 Savage, Metro Boomin"
Are You Bored Yet? (feat. Clairo),Wallows
"10,000 Hours (with Justin Bieber)",Dan + Shay
You Got It,Vedo
Quiéreme Mientras Se Pueda,Manuel Turizo
Party Girl,StaySolidRocky
Drankin N Smokin,"Future, Lil Uzi Vert"
Be Like That - feat. Swae Lee & Khalid,Kane Brown
MORE,"K/DA, Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine, League of Legends"
Enchule,Rauw Alejandro
Stripes Like Burberry,"Future, Lil Uzi Vert"
Papi Chulo,"Octavian, Skepta"
off the table (with The Weeknd),Ariana Grande
Spicy (feat. Post Malone),Ty Dolla $ign
Sweet Melody,Little Mix
Blueberry Eyes (feat. SUGA of BTS),MAX
That’s It,"Future, Lil Uzi Vert"
Promiscuous,"Nelly Furtado, Timbaland"
GREECE (feat. Drake),DJ Khaled
just like magic,Ariana Grande
Still Don't Know My Name,Labrinth
Hasta Que Dios Diga,"Anuel AA, Bad Bunny"
Get You The Moon (feat. Snøw),Kina
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG
Forever After All,Luke Combs
"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei, Jone Quest"
SLOW DANCING IN THE DARK,Joji
Don Don,"Daddy Yankee, Anuel AA, Kendo Kaponi"
my future,Billie Eilish
Nada,"Cali Y El Dandee, Danna Paola"
safety net (feat. Ty Dolla $ign),Ariana Grande
shut up,Ariana Grande
nasty,Ariana Grande
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA
Madrid (feat. Myke Towers),Maluma
Caramelo - Remix,"Ozuna, KAROL G, Myke Towers"
Mr. Right Now (feat. Drake),"21 Savage, Metro Boomin"
Got It On Me,Pop Smoke
my hair,Ariana Grande
obvious,Ariana Grande
Beautiful People (feat. Khalid),Ed Sheeran
Favorito,Camilo
After Party,Don Toliver
Rojo,J Balvin
six thirty,Ariana Grande
love language,Ariana Grande
west side,Ariana Grande
Thriller,Michael Jackson
Dancing With A Stranger (with Normani),Sam Smith
Angeklagt,Bonez MC
Kids Again,Sam Smith
Highway to Hell,AC/DC
Me Gusta (with Cardi B & Myke Towers),Anitta
24 (feat. Lil Baby),Money Man
Relación,Sech
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott
Bet You Wanna (feat. Cardi B),BLACKPINK
Wolves (feat. Post Malone),Big Sean
"thank u, next",Ariana Grande
MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul"
Fake,"Lauv, Conan Gray"
OK Not To Be OK,"Marshmello, Demi Lovato"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi"
Mamichula - con Nicki Nicole,"Trueno, Bizarrap, Taiu, TATOOL"
Let Her Go,Passenger
Play Date,Melanie Martinez
Lose Somebody,"Kygo, OneRepublic"
Someone Like You,Adele
It's You,Ali Gatie
Stunnin' (feat. Harm Franklin),Curtis Waters
Love To Hate Me,BLACKPINK
Hate The Way (feat. blackbear),G-Eazy
Bande organisée,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari"
Crazy Over You,BLACKPINK
"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha
TKN (feat. Travis Scott),ROSALÍA
El Mismo Aire - con Pablo Alborán,Camilo
Yo Perreo Sola,Bad Bunny
Let Me Love You Like A Woman,Lana Del Rey
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna
Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez"
July,Noah Cyrus
Bruises,Lewis Capaldi
You Never Know,BLACKPINK
Supalonely,"BENEE, Gus Dapperton"
Glock In My Lap,"21 Savage, Metro Boomin"
Better,ZAYN
forget me too (feat. Halsey),Machine Gun Kelly
Oh Juliana,Niack
"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix","Feid, J Balvin, Justin Quiles"
No Guidance (feat. Drake),Chris Brown
Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin"
Many Men,"21 Savage, Metro Boomin"
Slidin,"21 Savage, Metro Boomin"
Outta Time (feat. Drake),Bryson Tiller
My Dawg,"21 Savage, Metro Boomin"
Snitches & Rats (feat. Young Nudy),"21 Savage, Metro Boomin"
Brand New Draco,"21 Savage, Metro Boomin"
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money
Your Man,Joji
No Opp Left Behind,"21 Savage, Metro Boomin"
Lets Link,WhoHeem
RIP Luv,"21 Savage, Metro Boomin"
Steppin On Niggas,"21 Savage, Metro Boomin"
Gimme Love,Joji
Ew,Joji
Daylight,"Joji, Diplo"
Epidemic,Polo G
bloody valentine,Machine Gun Kelly
MODUS,Joji
Tick Tock,Joji
Sanctuary,Joji
feel something,Bea Miller
Tap In,Saweetie
Pretty Boy (feat. Lil Yachty),Joji
Afterthought,"Joji, BENEE"
+Linda,Dalex
Over Now (with The Weeknd),Calvin Harris
Hate The Other Side (with Marshmello & The Kid Laroi),"Juice WRLD, Polo G"
drunk face,Machine Gun Kelly
Tak Tiki Tak,Harry Nach
WHATS POPPIN,Jack Harlow
Money Trees,"Kendrick Lamar, Jay Rock"
Blastoff (feat. Juice Wrld & Trippie Redd),"Internet Money, Diplo"
September,"Earth, Wind & Fire"
Secrets,"Regard, RAYE"
21,Polo G
BXL ZOO,"Damso, Hamza"
DEUX TOILES DE MER,Damso
exile (feat. Bon Iver),Taylor Swift
Righteous,Juice WRLD
Conversations,Juice WRLD
Dolly (with Lil Uzi Vert),Lil Tecca
Chicago Freestyle (feat. Giveon),Drake
GOOBA,6ix9ine
Physical,Dua Lipa
Hot Stuff,"Kygo, Donna Summer"
Who's Laughing Now,Ava Max
Sweet but Psycho,Ava Max
Del Mar,"Ozuna, Doja Cat, Sia"
Hit Different,"SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign"
Nobody's Love,Maroon 5
Máquina do Tempo,Matuê
Fuckst mich nur ab,Bonez MC
Jangueo,"Alex Rose, Rafa Pabön"
We Paid (feat. 42 Dugg),Lil Baby
Ihr Hobby,"Bonez MC, Maxwell"
When I Look At You,Miley Cyrus
Boss Bitch,Doja Cat
Ain't It Different (feat. AJ Tracey & Stormzy),Headie One
Some Say - Felix Jaehn Remix,Nea
Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion"
Lithuania (feat. Travis Scott),Big Sean
"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie
Not Shy,ITZY
"The Plan - From the Motion Picture ""TENET""",Travis Scott
ADMV,Maluma
Alane,"Robin Schulz, Wes"
THE BADDEST,"K/DA, (G)I-DLE, Wolftyla, Bea Miller, League of Legends"
Desce Pro Play (PA PA PA),"Mc Zaac, Anitta, Tyga"
Mariposa,Peach Tree Rascals
the 1,Taylor Swift
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin"
Unterwegs,"KitschKrieg, Jamule, SFR"
What's Love Got to Do with It,"Kygo, Tina Turner"
Cry About It Later,Katy Perry
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah
Gifted (feat. Roddy Ricch),Cordae
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott"
Anaranjado,"Jowell & Randy, J Balvin"
Reggaetonera,Anuel AA
Sour Candy (with BLACKPINK),Lady Gaga
Rags2Riches 2 (feat. Lil Baby),Rod Wave
Bandit (with YoungBoy Never Broke Again),Juice WRLD
PAM,"Justin Quiles, Daddy Yankee, El Alfa"
Lemonade,"Internet Money, Gunna, Don Toliver, NAV"
Frühstück in Paris,"Capital Bra, Cro"
ON,BTS
My Oasis (feat. Burna Boy),Sam Smith
Life's A Mess (feat. Halsey),Juice WRLD
PORFA,"Feid, Justin Quiles"
2012,"Bausa, Juju"
august,Taylor Swift
if i were u (with Lauv),blackbear
Ballin' (with Roddy Ricch),Mustard
Stay Gold,BTS
I'm Yours,Jason Mraz
Youngblood,5 Seconds of Summer
the last great american dynasty,Taylor Swift
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],Dua Lipa
my tears ricochet,Taylor Swift
Rags2Riches (feat. ATR Son Son),Rod Wave
Flex (feat. Juice WRLD),Polo G
Rover (feat. DTG),S1mba
Only You Freestyle,"Headie One, Drake"
Hallucinate,Dua Lipa
El Efecto,"Rauw Alejandro, Chencho Corleone"
Coño,"Jason Derulo, Puri, Jhorrmountain"
Jolie nana,Aya Nakamura
Lovefool,twocolors
invisible string,Taylor Swift
Higher Love,"Kygo, Whitney Houston"
Como Llora,Juanfran
Walk Em Down (feat. Roddy Ricch),NLE Choppa
Wow.,Post Malone
mirrorball,Taylor Swift
seven,Taylor Swift
this is me trying,Taylor Swift
betty,Taylor Swift
BLIND (feat. Young Thug),DaBaby
illicit affairs,Taylor Swift
Freak,Doja Cat
PUNANI,6ix9ine
Bläulich,Apache 207
Never Let Me Down,"VIZE, Tom Gregory"
Savage,Megan Thee Stallion
mad woman,Taylor Swift
epiphany,Taylor Swift
peace,Taylor Swift
Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg
Sie ruft,Apache 207
Tilidin Weg,Bonez MC
Over Your Head,"Future, Lil Uzi Vert"
hoax,Taylor Swift
Blood On My Jeans,Juice WRLD
Narrow Road (feat. Lil Baby),NLE Choppa
Amarillo,J Balvin
Singapur,"El Alfa, Chael Produciendo"
Tattoo,Rauw Alejandro
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign
Morado,J Balvin
ocean eyes,Billie Eilish
Lion King On Ice,J. Cole
Andere Welt,"Capital Bra, Clueso, KC Rebell"
TELL ME WHY,The Kid LAROI
Stay High,Juice WRLD
What Makes You Beautiful,One Direction
Shit Changed,"Ufo361, Sonus030"
Tell Me U Luv Me (with Trippie Redd),Juice WRLD
Bad Energy,Juice WRLD
Titanic,Juice WRLD
Skechers,DripReport
The Bigger Picture,Lil Baby
Story of My Life,One Direction
Hit My Line,Logic
Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert"
Up Up And Away,Juice WRLD
Man Of The Year,Juice WRLD
Fighting Demons,Juice WRLD
Can't Die,Juice WRLD
Screw Juice,Juice WRLD
Past Life (with Selena Gomez),Trevor Daniel
I Want It,Juice WRLD
Ransom,Lil Tecca
Diosa,Myke Towers
Never Know (feat. SHIRIN DAVID),Luciano
La Difícil,Bad Bunny
TROLLZ (with Nicki Minaj),6ix9ine
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus"
The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi
China,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin"
Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow"
Ignorantes,"Bad Bunny, Sech"
Yummy,Justin Bieber
High Fashion (feat. Mustard),Roddy Ricch
Like That (feat. Gucci Mane),Doja Cat
Goodbyes (feat. Young Thug),Post Malone
BOP,DaBaby
Sigues Con El,"Dímelo Flow, Arcangel, Sech"
Anxiety - Intro,Juice WRLD
Juice WRLD Speaks From Heaven - Outro,Juice WRLD
"The Man, The Myth, The Legend - Interlude",Juice WRLD
Tiefschwarz (feat. Samra),Kontra K
Wash Us In The Blood,"Kanye West, Travis Scott"
Gangstas,Pop Smoke
Monster,Red Velvet - IRENE & SEULGI
YAYA,6ix9ine
Narcos,Anuel AA
This City,Sam Fischer
Make It Rain (feat. Rowdy Rebel),Pop Smoke
Lalala,"Y2K, bbno$"
Something Special,Pop Smoke
Aim For The Moon (feat. Quavo),Pop Smoke
44 BullDog,Pop Smoke
Creature (feat. Swae Lee),Pop Smoke
Yea Yea,Pop Smoke
Enjoy Yourself (feat. Karol G),Pop Smoke
Bad Bitch From Tokyo (Intro),Pop Smoke
Snitching (feat. Quavo & Future),Pop Smoke
West Coast Shit (feat. Tyga & Quavo),Pop Smoke
Deep End Freestyle,"Sleepy Hallow, Fousheé"
Tommy Lee (feat. Post Malone),Tyla Yaweh
Tunnel Vision (Outro),Pop Smoke
Si Veo a Tu Mamá,Bad Bunny
Prospect (ft. Lil Baby),iann dior
No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny"
El Manual,Anuel AA
Thunder,Imagine Dragons
El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex"
Better Now,Post Malone
Don't Stop Believin',Journey
BLACK PARADE,Beyoncé
XXL,"Miksu / Macloud, Summer Cem, Luciano, Jamule"
Salt,Ava Max
Daisies,Katy Perry
Emotionally Scarred,Lil Baby
Myron,Lil Uzi Vert
MORE & MORE,TWICE
Girls in the Hood,Megan Thee Stallion
Parasite Eve,Bring Me The Horizon
Sucker,Jonas Brothers
I Like Me Better,Lauv
High Hopes,Panic! At The Disco
Money In The Grave (Drake ft. Rick Ross),Drake
Say So (feat. Nicki Minaj),Doja Cat
Karaoke,"Boomdabash, Alessandra Amoroso"
Know Your Worth,"Khalid, Disclosure"
No Idea,Don Toliver
Airwaves,Pashanim
Kill This Love,BLACKPINK
Lights Up,Harry Styles
Lose You To Love Me,Selena Gomez
Girls Like You (feat. Cardi B),Maroon 5
PA' ROMPERLA,"Bad Bunny, Don Omar"
VACATION,Tyga
Big Body Benz,Bonez MC
Ich weiß nicht mal wie sie heißt,"Capital Bra, Bozza"
Fútbol & Rumba (feat. Enrique Iglesias),Anuel AA
Bleed,A Boogie Wit da Hoodie
Snow On Tha Bluff,J. Cole
Djomb - Bien ou quoi,Bosh
In Your Eyes (feat. Alida),"Alida, Robin Schulz"
Stupid Love,Lady Gaga
Shotta Flow 5,NLE Choppa
IDK You Yet,Alexander 23
Piece Of Your Heart,"MEDUZA, Goodboys"
Na Raba Toma Tapão,Niack
La Santa,"Bad Bunny, Daddy Yankee"
Make You Mine,PUBLIC
ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,DaBaby
Make It Rain,"Pop Smoke, Rowdy Rebel"
M' Manc (con Geolier & Sfera Ebbasta),Shablo
Emotions 2.0,"Ufo361, CÉLINE"
P2,Lil Uzi Vert
Selfish,Madison Beer
Surrender,Natalie Taylor
Turks (with Gunna & ft. Travis Scott),NAV
BYE ME FUI,Bad Bunny
Vete,Bad Bunny
Like It Is,"Kygo, Zara Larsson, Tyga"
My Oh My (feat. DaBaby),Camila Cabello
Let Me Down Slowly,Alec Benjamin
BELIEVE IT,"PARTYNEXTDOOR, Rihanna"
Boot,Apache 207
Riot,XXXTENTACION
VALLA NEIN (feat. Luciano),"KC Rebell, Summer Cem"
I’m Ready (with Demi Lovato),Sam Smith
This Is America,Childish Gambino
Fantasias,"Rauw Alejandro, Farruko"
BAD CON NICKY,"Bad Bunny, Nicky Jam"
If I Can't Have You,Shawn Mendes
What A Man Gotta Do,Jonas Brothers
Callaita,"Bad Bunny, Tainy"
Solitaires (feat. Travis Scott),Future
XO Tour Llif3,Lil Uzi Vert
changes,XXXTENTACION
Suicidal (Remix) [feat. Juice WRLD],YNW Melly
Level of Concern,Twenty One Pilots
Alice,Lady Gaga
Free Woman,Lady Gaga
Fun Tonight,Lady Gaga
Sine From Above (with Elton John),Lady Gaga
Enigma,Lady Gaga
Replay,Lady Gaga
Plastic Doll,Lady Gaga
Chromatica II,Lady Gaga
Babylon,Lady Gaga
Chromatica I,Lady Gaga
1000 Doves,Lady Gaga
Broken Glass,"Kygo, Kim Petras"
In meinem Benz,"AK AUSSERKONTROLLE, Bonez MC"
FLY,"KC Rebell, Summer Cem"
SKRR,"KALIM, Ufo361"
"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",Lil Yachty
Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty
Roadrunner,Bonez MC
Freedom,"Kygo, Zak Abel"
Fame,Apache 207
Daechwita,Agust D
COOLER THAN A BITCH (feat. Roddy Ricch),Gunna
In Your Eyes (with Doja Cat) - Remix,The Weeknd
WUNNA,Gunna
Komm Komm,Capital Bra
TOP FLOOR (feat. Travis Scott),Gunna
Goodbyes (Feat. Young Thug),Post Malone
CANCIÓN CON YANDEL,"Yandel, Bad Bunny"
X (with KAROL G),Jonas Brothers
MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox"
Together,Sia
eight(Prod.&Feat. SUGA of BTS),IU
You should be sad,Halsey
CITY OF ANGELS,24kGoldn
Astronomia,"Vicetone, Tony Igy"
After Hours,The Weeknd
BUTTERFLY EFFECT,Travis Scott
Never Seen the Rain,Tones And I
Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos"
ANGELS & DEMONS,jxdn
Confía,"Sech, Daddy Yankee"
Muévelo,"Nicky Jam, Daddy Yankee"
All Bad (feat. Lil Uzi Vert),Future
Pain 1993 (with Playboi Carti),Drake
Trillionaire (feat. Youngboy Never Broke Again),Future
Go Stupid,"Polo G, Stunna 4 Vegas, NLE Choppa, Mike WiLL Made-It"
A Gente Fez Amor - Ao Vivo,Gusttavo Lima
Racks 2 Skinny,Migos
Be Something (feat. Lil Baby),Polo G
BENDICIONES,Bad Bunny
PTSD,"G Herbo, Juice WRLD, Lil Uzi Vert, Chance the Rapper"
Excitement,"Trippie Redd, PARTYNEXTDOOR"
Can We Kiss Forever?,"Kina, Adriana Proenza"
SI ELLA SALE,Bad Bunny
RONCA FREESTYLE,Bad Bunny
Zoo York (feat. Fivio Foreign & Pop Smoke),Lil Tjay
EN CASITA,"Bad Bunny, Gabriela"
Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg"
Nicht verdient,"Capital Bra, Loredana"
A Tu Merced,Bad Bunny
Demons (feat. Fivio Foreign & Sosa Geek),Drake
Moral of the Story,Ashe
Can I,Kehlani
STARGAZING,Travis Scott
Eastside (with Halsey & Khalid),benny blanco
Suicidal,YNW Melly
How Do You Sleep?,Sam Smith
No Time To Die,Billie Eilish
D4L,"Future, Drake, Young Thug"
Time Flies,Drake
Desires (with Future),Drake
Not You Too (feat. Chris Brown),Drake
Landed,Drake
When To Say When,Drake
Deep Pockets,Drake
War,Drake
From Florida With Love,Drake
Losses,Drake
Turks (feat. Travis Scott),"NAV, Gunna"
Boyfriend,Selena Gomez
What If I Told You That I Love You,Ali Gatie
Emotions,Ufo361
FIND MY WAY,DaBaby
Keii,Anuel AA
God's Plan,Drake
Por Primera Vez,"Camilo, Evaluna Montaner"
@ MEH,Playboi Carti
Broke In A Minute,Tory Lanez
Fantasias - Remix,"Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay"
SUGAR,BROCKHAMPTON
90-60-111,Shirin David
YOSEMITE,Travis Scott
Houdini (feat. Swarmz & Tion Wayne),KSI
Sasuke,Lil Uzi Vert
Me Gusta,"Shakira, Anuel AA"
If You’re Too Shy (Let Me Know) - Edit,The 1975
"Alone, Pt. II","Alan Walker, Ava Max"
Tutu,"Camilo, Pedro Capó"
Hate Me (with Juice WRLD),Ellie Goulding
Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy
Blanco,J Balvin
PICK UP (feat. Quavo),DaBaby
JUMP (feat. YoungBoy Never Broke Again),DaBaby
LIGHTSKIN SH*T (feat. Future & jetsonmade),DaBaby
That Way - Bonus Track,Lil Uzi Vert
No Me Ame,"Rvssian, Anuel AA, Juice WRLD"
I'll Wait,"Kygo, Sasha Alex Sloan"
Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty
BLAME IT ON BABY,DaBaby
Follow,"KAROL G, Anuel AA"
3 Nights,Dominic Fike
The Take (feat. Chris Brown),Tory Lanez
Stupid Again,Tory Lanez
Shotz Fired,Bonez MC
BaeBae,Samra
To Die For,Sam Smith
WANNABE,ITZY
Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella"
Heart On Ice,Rod Wave
La Cama - Remix,"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro"
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),"Polo G, Stunna 4 Vegas"
Cradles,Sub Urban
Good as Hell (feat. Ariana Grande),Lizzo
Forever (feat. Post Malone & Clever),Justin Bieber
I Love Me,Demi Lovato
Old Me,5 Seconds of Summer
Pero Ya No,Bad Bunny
Hardest To Love,The Weeknd
BRABA,Luísa Sonza
Woah,Lil Baby
Pretty Please,Dua Lipa
I.F.L.Y.,Bazzi
Cool,Dua Lipa
Future Nostalgia,Dua Lipa
Good In Bed,Dua Lipa
Scared To Live,The Weeknd
Alone Again,The Weeknd
Boys Will Be Boys,Dua Lipa
Auto Blu,"Shiva, Eiffel 65"
Du bist mein,"Zuna, Loredana, SRNO"
Too Late,The Weeknd
Wildflower,5 Seconds of Summer
Faith,The Weeknd
Snowchild,The Weeknd
Escape From LA,The Weeknd
Allein sein,Ufo361
Bichiyal,"Bad Bunny, Yaviah"
Medusa,"Jhay Cortez, Anuel AA, J Balvin"
Break Up Song,Little Mix
Teeth,5 Seconds of Summer
Repeat After Me (Interlude),The Weeknd
Until I Bleed Out,The Weeknd
Rosa,J Balvin
Gris,J Balvin
Negro,J Balvin
Verde,"J Balvin, Sky Rompiendo"
Baby Pluto,Lil Uzi Vert
Lo Mein,Lil Uzi Vert
No Judgement,Niall Horan
Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert
Arcoíris,"J Balvin, Mr Eazi"
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby
Feel Me,Selena Gomez
H <3 T E L,"Dardan, Monet192"
25/8,Bad Bunny
Se Me Olvidó,Christian Nodal
B.S. (feat. H.E.R.),Jhené Aiko
Soliá,Bad Bunny
Está Cabrón Ser Yo,"Bad Bunny, Anuel AA"
Bean (Kobe) [feat. Chief Keef],Lil Uzi Vert
Yessirskiii,"Lil Uzi Vert, 21 Savage"
Cardigan,Don Toliver
Silly Watch,Lil Uzi Vert
Hablamos Mañana,"Bad Bunny, Duki, Pablo Chill-E"
Lotus,Lil Uzi Vert
Lettre à une femme,Ninho
Que Malo,"Bad Bunny, Ñengo Flow"
Leaders (feat. NAV),Lil Uzi Vert
Strawberry Peels (feat. Young Thug & Gunna),Lil Uzi Vert
La Zona,Bad Bunny
Wassup (feat. Future),Lil Uzi Vert
Una Vez,"Bad Bunny, Mora"
Moon Relate,Lil Uzi Vert
Black And White,Niall Horan
The Other Side (from Trolls World Tour),"SZA, Justin Timberlake"
Whine Up,"Nicky Jam, Anuel AA"
Ayy Macarena,Tyga
Trap This Way (This Way),Lil Uzi Vert
Who (feat. BTS),Lauv
Homecoming,Lil Uzi Vert
Got The Guap (feat. Young Thug),Lil Uzi Vert
Prices,Lil Uzi Vert
I Can Show You,Lil Uzi Vert
I'm Sorry,Lil Uzi Vert
Black Swan,BTS
Bad Child,Tones And I
Adicto (with Anuel AA & Ozuna),Tainy
<3,Bad Bunny
"Bad Girls, Good Vibes",Ufo361
Liberdade Provisória - Ao Vivo,Henrique & Juliano
POP,Lil Uzi Vert
